(43.296837283161786, -73) | 32 meters
(43.387918593706814, -73) | 32 meters
(43.28298304767226, -72.99962619796182) | 31 meters
(43.30739942308945, -72.99906549490456) | 38 meters
(43.31329776097113, -72.99775718777093) | 30 meters
(43.30136391455936, -72.99738338573275) | 32 meters
(43.77926645362402, -72.99738338573275) | 30 meters
(43.412746481069235, -72.99626197961823) | 35 meters
(43.80381999968962, -72.99607507859913) | 33 meters
(43.773916798335975, -72.99439296942732) | 30 meters
(43.18915832415902, -72.99383226637006) | 30 meters
(43.311651713190194, -72.99383226637006) | 30 meters
(43.29354518759992, -72.99327156331279) | 31 meters
(43.82796203381, -72.99271086025553) | 30 meters
(43.296014259271324, -72.99158945414099) | 33 meters
(43.236070685915635, -72.99046804802646) | 38 meters
(43.80697492460308, -72.99028114700737) | 32 meters
(43.80999267886813, -72.99028114700737) | 31 meters
(43.30136391455936, -72.9897204439501) | 31 meters
(43.214809235411906, -72.98934664191192) | 32 meters
(43.239637122774326, -72.98934664191192) | 30 meters
(43.72055741610401, -72.98915974089283) | 30 meters
(43.22797761765938, -72.98878593885466) | 33 meters
(43.804780194228506, -72.98766453274013) | 36 meters
(43.279965293407216, -72.98747763172103) | 31 meters
(43.27694753914217, -72.98691692866376) | 38 meters
(43.23757956304816, -72.9863562256065) | 34 meters
(43.28462909545319, -72.9863562256065) | 32 meters
(43.24114599990685, -72.98598242356832) | 34 meters
(43.232092737111714, -72.98542172051106) | 32 meters
(43.2736554435803, -72.98523481949196) | 31 meters
(43.22907498284667, -72.98336580930108) | 30 meters
(43.24320355963302, -72.9828051062438) | 32 meters
(43.28627514323413, -72.9828051062438) | 31 meters
(43.711504153308866, -72.9828051062438) | 35 meters
(43.23771673369657, -72.98243130420563) | 31 meters
(43.263230474301054, -72.98243130420563) | 37 meters
(43.714796248870734, -72.98224440318654) | 31 meters
(43.37008640941336, -72.98187060114836) | 30 meters
(43.23154405451807, -72.98168370012927) | 34 meters
(43.708349228395406, -72.9813098980911) | 30 meters
(43.270774859963666, -72.981122997072) | 31 meters
(43.2736554435803, -72.98037539299565) | 30 meters
(43.30424449817599, -72.98018849197656) | 32 meters
